nombre,masa,anchura,altura
manzana,192,8.4,7.3
manzana,180,8.0,6.8
manzana,176,7.4,7.2
pera,86,6.2,4.7
pera,84,6.0,4.6
pera,80,5.8,4.3
pera,80,5.9,4.3
pera,76,5.8,4.0
manzana,178,7.1,7.8
manzana,172,7.4,7.0
manzana,166,6.9,7.3
manzana,172,7.1,7.6
manzana,154,7.0,7.1
manzana,164,7.3,7.7
manzana,152,7.6,7.3
manzana,156,7.7,7.1
manzana,156,7.6,7.5
manzana,168,7.5,7.6
manzana,162,7.5,7.1
manzana,162,7.4,7.2
manzana,160,7.5,7.5
manzana,156,7.4,7.4
manzana,140,7.3,7.1
manzana,170,7.6,7.9
naranja,342,9.0,9.4
naranja,356,9.2,9.2
naranja,362,9.6,9.2
naranja,204,7.5,9.2
naranja,140,6.7,7.1
naranja,160,7.0,7.4
naranja,158,7.1,7.5
naranja,210,7.8,8.0
naranja,164,7.2,7.0
naranja,190,7.5,8.1
naranja,142,7.6,7.8
naranja,150,7.1,7.9
naranja,160,7.1,7.6
naranja,154,7.3,7.3
naranja,158,7.2,7.8
naranja,144,6.8,7.4
naranja,154,7.1,7.5
naranja,180,7.6,8.2
naranja,154,7.2,7.2
limon,194,7.2,10.3
limon,200,7.3,10.5
limon,186,7.2,9.2
limon,216,7.3,10.2
limon,196,7.3,9.7
limon,174,7.3,10.1
limon,132,5.8,8.7
limon,130,6.0,8.2
limon,116,6.0,7.5
limon,118,5.9,8.0
limon,120,6.0,8.4
limon,116,6.1,8.5
limon,116,6.3,7.7
limon,116,5.9,8.1
limon,152,6.5,8.5
limon,118,6.1,8.1
